#NTIMES:    67
#NSTAGES:     8
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5           fe6           fe7
    1.093701E+03   2.0744E-037   4.0428E-029   3.7043E-022   8.9127E-016   2.0677E-010   7.2022E-006   1.3346E-002   9.8665E-001
    1.162375E+03   2.0572E-037   4.0180E-029   3.6891E-022   8.8907E-016   2.0658E-010   7.2016E-006   1.3349E-002   9.8664E-001
    1.235362E+03   1.7966E-037   3.5290E-029   3.2654E-022   7.9722E-016   1.8800E-010   6.7121E-006   1.2843E-002   9.8715E-001
    1.312931E+03   7.4487E-038   1.4944E-029   1.4350E-022   3.7848E-016   9.7723E-011   4.0956E-006   9.7706E-003   9.9023E-001
    1.395371E+03   1.2540E-039   3.0490E-031   3.7730E-024   1.4968E-017   6.0533E-012   5.1972E-007   3.1600E-003   9.9684E-001
    1.482988E+03   4.1856E-041   1.1938E-032   1.8272E-025   1.0263E-018   6.0098E-013   9.4643E-008   1.2515E-003   9.9875E-001
    1.576106E+03   2.5226E-041   7.3812E-033   1.1681E-025   6.9190E-019   4.2836E-013   7.3862E-008   1.0946E-003   9.9891E-001
    1.675071E+03   3.6555E-042   1.1861E-033   2.1427E-026   1.5603E-019   1.1965E-013   2.9173E-008   6.6420E-004   9.9934E-001
    1.780251E+03   2.8495E-043   1.0698E-034   2.3210E-027   2.2350E-020   2.2811E-014   8.8189E-009   3.5104E-004   9.9965E-001
    1.892034E+03   4.4019E-044   1.9097E-035   4.8908E-028   5.8722E-021   7.4895E-015   4.0066E-009   2.3210E-004   9.9977E-001
    2.010837E+03   4.7427E-045   2.3579E-036   7.1457E-029   1.1032E-021   1.8120E-015   1.4618E-009   1.3681E-004   9.9986E-001
    2.137099E+03   6.0484E-046   3.5075E-037   1.2714E-029   2.5054E-022   5.2531E-016   6.1410E-010   8.7364E-005   9.9991E-001
    2.271289E+03   6.6985E-047   4.5135E-038   1.9585E-030   4.9917E-023   1.3522E-016   2.3837E-010   5.3739E-005   9.9995E-001
    2.413905E+03   9.4138E-048   7.3789E-039   3.8142E-031   1.2316E-023   4.2200E-017   1.0677E-010   3.5742E-005   9.9996E-001
    2.565477E+03   2.2447E-048   1.9802E-039   1.1707E-031   4.5076E-024   1.8392E-017   6.0456E-011   2.6835E-005   9.9997E-001
    2.726565E+03   9.4682E-049   9.1419E-040   5.9520E-032   2.5645E-024   1.1702E-017   4.4495E-011   2.3012E-005   9.9998E-001
    2.897769E+03   8.3239E-049   8.4867E-040   5.7954E-032   2.5737E-024   1.2113E-017   4.5786E-011   2.3354E-005   9.9998E-001
    3.079722E+03   1.6366E-048   1.7046E-039   1.1635E-031   4.8796E-024   2.1727E-017   6.9042E-011   2.8780E-005   9.9997E-001
    3.273101E+03   1.2016E-047   1.1699E-038   7.1728E-031   2.4381E-023   8.8163E-017   1.8474E-010   4.7740E-005   9.9995E-001
    3.478622E+03   5.8237E-046   5.2116E-037   2.7027E-029   6.2655E-022   1.5401E-015   1.4531E-009   1.4213E-004   9.9986E-001
    3.697048E+03   8.4427E-044   5.2627E-035   1.7914E-027   2.3397E-020   3.2030E-014   1.2762E-008   4.4959E-004   9.9955E-001
    3.929188E+03   1.1926E-042   5.2237E-034   1.2442E-026   1.1247E-019   1.0644E-013   2.8754E-008   6.7839E-004   9.9932E-001
    4.175906E+03   8.0174E-039   3.5805E-030   7.1222E-023   3.2523E-016   1.3537E-010   6.6881E-006   1.4206E-002   9.8579E-001
    4.438115E+03   7.3656E-037   3.0088E-028   5.0565E-021   1.6049E-014   4.1399E-009   8.9511E-005   5.9540E-002   9.4037E-001
    4.716788E+03   1.3092E-036   5.5522E-028   9.5277E-021   2.9653E-014   7.2835E-009   1.3935E-004   7.6251E-002   9.2361E-001
    5.012959E+03   4.3093E-037   2.0106E-028   3.8299E-021   1.3522E-014   3.8285E-009   8.7823E-005   5.9926E-002   9.3999E-001
