#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           cr0           cr1           cr2           cr3           cr4
    6.383998E+04   1.0000E-099   9.9982E-001   1.8022E-004   1.2600E-020   2.8323E-052
    6.526223E+04   1.0000E-099   9.9984E-001   1.6307E-004   1.0879E-020   2.3132E-052
    6.660986E+04   1.0000E-099   9.9985E-001   1.5030E-004   9.5297E-021   1.9022E-052
    6.786444E+04   1.0000E-099   9.9986E-001   1.3958E-004   8.3858E-021   1.5577E-052
    6.899777E+04   1.0000E-099   9.9988E-001   1.2462E-004   6.8625E-021   1.1381E-052
    6.951321E+04   1.0000E-099   9.9989E-001   1.1114E-004   5.4968E-021   7.9731E-053
    6.977237E+04   1.0000E-099   9.9990E-001   1.0124E-004   4.4467E-021   5.6860E-053
    6.990232E+04   1.0000E-099   9.9991E-001   9.3458E-005   3.5638E-021   4.0205E-053
    6.996738E+04   1.0000E-099   9.9991E-001   8.8124E-005   2.9333E-021   2.9945E-053
    6.999830E+04   1.0000E-099   9.9992E-001   8.4472E-005   2.5061E-021   2.3813E-053
    6.999993E+04   1.0000E-099   9.9992E-001   8.4105E-005   2.4604E-021   2.3206E-053
#TIME:     0.733
#NVEL: 115
#vel_mid[km/s]           cr0           cr1           cr2           cr3           cr4
    8.484664E+02   1.0000E-099   2.7888E-019   4.1736E-012   1.0913E-005   9.9999E-001
    8.528610E+02   1.0000E-099   2.7888E-019   4.1736E-012   1.0913E-005   9.9999E-001
    8.661820E+02   1.0000E-099   2.7888E-019   4.1736E-012   1.0913E-005   9.9999E-001
