#NTIMES: 50
#NSTAGES 2
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 115
#vel_mid[km/s] mg0 mg1
12055.39 5.3910e-01 4.6090e-01
12170.41 4.4539e-01 5.5461e-01
12360.89 8.3025e-02 9.1697e-01
12670.46 1.2365e-02 9.8763e-01
13075.34 7.7136e-03 9.9229e-01
13530.52 5.2571e-03 9.9474e-01
14012.75 4.9041e-03 9.9510e-01
14508.81 3.5367e-03 9.9646e-01
15002.30 2.6706e-03 9.9733e-01
15475.29 2.7579e-03 9.9724e-01
15923.68 2.3777e-03 9.9762e-01
16355.64 2.3342e-03 9.9767e-01
16776.27 2.2136e-03 9.9779e-01
17183.14 2.3084e-03 9.9769e-01
17580.45 2.0742e-03 9.9793e-01
17990.34 1.8647e-03 9.9814e-01
18458.06 1.7006e-03 9.9830e-01
19084.69 1.2702e-03 9.9873e-01
19999.79 8.1130e-04 9.9919e-01
21193.46 3.5065e-04 9.9965e-01
22528.72 2.0162e-04 9.9980e-01
23943.32 1.3960e-04 9.9986e-01
25446.74 1.0820e-04 9.9989e-01
27044.57 5.0926e-05 9.9995e-01
28744.18 2.2504e-05 9.9998e-01
30520.16 1.1723e-05 9.9999e-01
32243.50 7.7206e-06 9.9999e-01
33773.01 5.9348e-06 9.9999e-01
35108.48 3.7370e-06 1.0000e+00
36326.30 2.6535e-06 1.0000e+00
37486.70 1.3830e-06 1.0000e+00
38628.25 8.5720e-07 1.0000e+00
39768.62 6.6421e-07 1.0000e+00
40915.31 5.4765e-07 1.0000e+00
42074.51 3.4557e-07 1.0000e+00
43252.44 2.8445e-07 1.0000e+00
44454.05 2.5570e-07 1.0000e+00
45683.04 1.6858e-07 1.0000e+00
46941.68 1.4598e-07 1.0000e+00
48230.81 9.4467e-08 1.0000e+00
49550.29 6.0876e-08 1.0000e+00
50899.37 4.9578e-08 1.0000e+00
52276.86 3.9029e-08 1.0000e+00
53681.16 3.5287e-08 1.0000e+00
55110.21 2.5892e-08 1.0000e+00
56561.17 1.9224e-08 1.0000e+00
58030.00 1.7605e-08 1.0000e+00
59510.42 1.5758e-08 1.0000e+00
60993.45 1.3571e-08 1.0000e+00
62466.44 1.1883e-08 1.0000e+00
63912.69 8.8847e-09 1.0000e+00
65311.62 7.1950e-09 1.0000e+00
66639.26 1.2383e-08 1.0000e+00
67870.77 1.0293e-08 1.0000e+00
68864.47 7.9684e-09 1.0000e+00
69459.55 7.2975e-09 1.0000e+00
69744.99 1.0446e-08 1.0000e+00
