#NTIMES: 4
#NVEL: 591
#TIMES[d]: 5.0 10.0 15.0 20.0
#vel_mid[km/s] Tgas_t0[K] Tgas_t1[K] ... Tgas_tn[K]
2.114847E+04 7.989174E+03 7.823143E+03 7.433356E+03 8.038989E+03
2.119839E+04 7.985634E+03 7.818162E+03 7.431925E+03 8.039085E+03
2.124831E+04 7.984520E+03 7.814475E+03 7.428237E+03 8.037455E+03
2.129822E+04 7.982679E+03 7.814461E+03 7.423914E+03 8.033243E+03
2.134814E+04 7.980178E+03 7.814524E+03 7.422695E+03 8.033004E+03
2.139805E+04 7.976682E+03 7.812989E+03 7.422581E+03 8.035705E+03
2.144797E+04 7.973386E+03 7.809923E+03 7.420215E+03 8.034930E+03
2.149788E+04 7.968800E+03 7.805952E+03 7.418316E+03 8.031677E+03
2.154780E+04 7.961936E+03 7.803721E+03 7.417115E+03 8.028710E+03
2.159771E+04 7.959560E+03 7.801446E+03 7.416338E+03 8.026359E+03
2.164763E+04 7.957751E+03 7.798407E+03 7.414678E+03 8.021742E+03
2.169754E+04 7.953055E+03 7.796687E+03 7.410031E+03 8.017053E+03
2.174746E+04 7.949964E+03 7.794301E+03 7.407022E+03 8.012517E+03
2.179737E+04 7.948746E+03 7.791393E+03 7.406526E+03 8.010272E+03
2.184729E+04 7.948675E+03 7.790870E+03 7.404880E+03 8.013940E+03
2.189720E+04 7.946652E+03 7.788389E+03 7.402304E+03 8.016455E+03
2.194712E+04 7.941324E+03 7.783782E+03 7.400424E+03 8.012052E+03
2.199703E+04 7.937491E+03 7.780211E+03 7.398847E+03 8.008397E+03
2.204695E+04 7.936040E+03 7.777164E+03 7.397483E+03 8.005579E+03
2.209686E+04 7.932208E+03 7.777145E+03 7.395842E+03 7.999579E+03
2.214678E+04 7.927303E+03 7.775599E+03 7.394293E+03 7.993760E+03
