#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 162
#vel_mid[km/s] s0 s1 s2 s3
25875.00 2.5898e-04 3.2524e-01 5.2728e-01 1.4722e-01
26125.00 1.6712e-04 1.9967e-01 6.2196e-01 1.7820e-01
26375.00 3.2345e-04 3.2435e-01 5.3078e-01 1.4454e-01
26625.00 3.2743e-04 3.0054e-01 5.3865e-01 1.6048e-01
26875.00 2.7524e-04 3.0107e-01 5.3703e-01 1.6162e-01
27125.00 2.3647e-04 2.8735e-01 5.4133e-01 1.7108e-01
27375.00 2.1979e-04 2.6835e-01 5.4419e-01 1.8724e-01
27625.00 3.1438e-04 3.2589e-01 5.1340e-01 1.6040e-01
27875.00 3.0864e-04 3.0476e-01 5.3169e-01 1.6323e-01
28125.00 2.8327e-04 2.7867e-01 5.4318e-01 1.7787e-01
28375.00 1.6409e-04 2.7832e-01 5.0633e-01 2.1518e-01
28625.00 1.3355e-04 2.2649e-01 5.5182e-01 2.2156e-01
28875.00 4.0149e-04 2.7326e-01 5.6467e-01 1.6167e-01
29125.00 3.2636e-04 2.7223e-01 5.6494e-01 1.6251e-01
29375.00 2.5773e-04 2.5582e-01 5.6874e-01 1.7518e-01
29625.00 2.2228e-04 2.4690e-01 5.7038e-01 1.8250e-01
29875.00 2.0004e-04 2.3924e-01 5.7167e-01 1.8889e-01
30125.00 1.7467e-04 2.2526e-01 5.7303e-01 2.0154e-01
30375.00 1.8106e-04 2.2161e-01 5.7345e-01 2.0476e-01
30625.00 2.2460e-04 2.0976e-01 5.7387e-01 2.1615e-01
30875.00 1.9281e-04 1.9206e-01 5.7328e-01 2.3447e-01
31125.00 1.7131e-04 1.7703e-01 5.7091e-01 2.5188e-01
31375.00 2.4052e-04 2.2906e-01 5.7258e-01 1.9812e-01
31625.00 1.0374e-04 1.5381e-01 5.6498e-01 2.8110e-01
31875.00 4.2583e-05 9.0493e-02 5.1330e-01 3.9617e-01
32125.00 2.2698e-05 9.8150e-02 4.9834e-01 4.0349e-01
32375.00 2.4297e-05 1.0454e-01 5.1453e-01 3.8091e-01
32625.00 4.6060e-05 1.3777e-01 5.4688e-01 3.1530e-01
32875.00 2.5117e-05 5.6840e-02 4.3523e-01 5.0791e-01
33125.00 5.0762e-04 1.2059e-01 5.4608e-01 3.3282e-01
33375.00 6.1277e-05 8.9679e-02 5.0327e-01 4.0699e-01
33625.00 7.9111e-06 3.7422e-02 3.8198e-01 5.8059e-01
33875.00 1.5581e-05 5.9697e-02 4.4116e-01 4.9913e-01
34125.00 8.0184e-06 5.3324e-02 4.5622e-01 4.9045e-01
34375.00 4.9914e-06 4.8012e-02 4.4280e-01 5.0918e-01
34625.00 3.7649e-06 4.1471e-02 4.2332e-01 5.3521e-01
34875.00 3.6310e-06 3.6046e-02 4.0435e-01 5.5960e-01
35125.00 2.7326e-06 3.1436e-02 3.8643e-01 5.8213e-01
35375.00 2.5899e-06 2.8073e-02 3.7173e-01 6.0020e-01
35625.00 4.1126e-06 2.5032e-02 3.5704e-01 6.1792e-01
35875.00 3.7889e-06 2.2491e-02 3.4351e-01 6.3399e-01
36125.00 3.1756e-06 1.9938e-02 3.2846e-01 6.5160e-01
36375.00 2.6864e-06 1.7697e-02 3.1397e-01 6.6833e-01
36625.00 2.2899e-06 1.5716e-02 2.9988e-01 6.8440e-01
36875.00 1.9442e-06 1.3960e-02 2.8618e-01 6.9986e-01
37125.00 1.9432e-06 1.2435e-02 2.7060e-01 7.1696e-01
37375.00 2.3623e-06 1.0987e-02 2.5970e-01 7.2931e-01
37625.00 2.0681e-06 9.7503e-03 2.4718e-01 7.4307e-01
37875.00 6.1877e-07 2.0994e-03 2.3472e-01 7.6318e-01
38125.00 6.7533e-07 1.2955e-03 2.2441e-01 7.7429e-01
38375.00 6.0073e-07 1.2093e-03 2.2011e-01 7.7868e-01
38625.00 5.0903e-07 1.1000e-03 2.0785e-01 7.9105e-01
38875.00 1.1352e-07 9.6982e-04 1.9770e-01 8.0133e-01
39125.00 4.5632e-08 8.6857e-04 1.8705e-01 8.1208e-01
39375.00 2.9553e-08 7.9232e-04 1.7641e-01 8.2280e-01
39625.00 2.4450e-08 6.9521e-04 1.6721e-01 8.3209e-01
39875.00 1.0370e-08 6.3417e-04 1.5764e-01 8.4172e-01
40125.00 1.7331e-08 5.5531e-04 1.4909e-01 8.5035e-01
40375.00 1.3613e-08 5.0739e-04 1.4044e-01 8.5905e-01
#TIME: 204.93
#NVEL: 162
#vel_mid[km/s] s0 s1 s2 s3
