#NTIMES:    57
#NSTAGES:     6
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570   60.030   66.000   72.560   80.000   88.000   97.000  107.000  117.000  127.000  137.000  147.000  157.000  167.000  177.000  187.000  197.000  207.000  217.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5
    1.214029E+04   2.1857E-010   1.5368E-003   9.9828E-001   1.8626E-004   1.7333E-017   1.6031E-026
    1.215784E+04   3.1435E-010   1.9697E-003   9.9791E-001   1.1575E-004   4.6245E-018   1.0054E-026
    1.217298E+04   4.2921E-010   2.4377E-003   9.9749E-001   7.6848E-005   1.4803E-018   6.7355E-027
    1.218654E+04   5.6624E-010   2.9475E-003   9.9700E-001   5.3319E-005   5.3530E-019   4.7125E-027
    1.220016E+04   7.4697E-010   3.5642E-003   9.9640E-001   3.6981E-005   1.9339E-019   3.2959E-027
    1.221368E+04   9.8104E-010   4.2970E-003   9.9568E-001   2.5801E-005   7.1088E-020   2.3175E-027
    1.222859E+04   1.3192E-009   5.2640E-003   9.9472E-001   1.7461E-005   2.4090E-020   1.5806E-027
    1.224457E+04   1.8031E-009   6.5196E-003   9.9347E-001   1.1577E-005   7.7944E-021   1.0553E-027
    1.225965E+04   2.4107E-009   7.9514E-003   9.9204E-001   7.9108E-006   2.8140E-021   7.2507E-028
    1.227256E+04   3.0699E-009   9.3781E-003   9.9062E-001   5.7658E-006   1.2670E-021   5.3054E-028
    1.228514E+04   3.8588E-009   1.0961E-002   9.8903E-001   4.2756E-006   6.4676E-022   3.9467E-028
    1.229683E+04   4.7545E-009   1.2637E-002   9.8736E-001   3.2545E-006   3.9171E-022   3.0120E-028
    1.232733E+04   7.7563E-009   1.7625E-002   9.8237E-001   1.7190E-006   2.0329E-022   1.6001E-028
    1.289197E+04   1.3388E-006   4.9805E-001   5.0195E-001   4.0952E-010   9.5372E-023   4.9808E-032
    1.402569E+04   1.5629E-005   9.8533E-001   1.4653E-002   2.9321E-015   3.0977E-024   4.1468E-037
    1.518573E+04   6.2595E-005   9.9940E-001   5.3520E-004   1.3110E-019   1.1705E-025   1.9536E-041
    1.632859E+04   1.7887E-004   9.9979E-001   3.5757E-005   1.5457E-022   8.2129E-027   2.4518E-044
    1.745157E+04   3.5063E-004   9.9964E-001   5.5557E-006   1.2708E-022   1.3256E-027   2.1123E-044
    1.855827E+04   5.2107E-004   9.9948E-001   1.6730E-006   1.3246E-022   4.1404E-028   2.2969E-044
    1.963325E+04   6.5246E-004   9.9935E-001   7.6005E-007   1.3753E-022   1.9463E-028   2.4776E-044
    2.068109E+04   7.3439E-004   9.9927E-001   4.4682E-007   1.4210E-022   1.1798E-028   2.6470E-044
    2.170537E+04   7.7699E-004   9.9922E-001   3.0861E-007   1.4624E-022   8.3807E-029   2.8064E-044
    2.269952E+04   7.8561E-004   9.9921E-001   2.4353E-007   1.5009E-022   6.7920E-029   2.9593E-044
    2.366536E+04   7.7284E-004   9.9923E-001   2.1190E-007   1.5371E-022   6.0640E-029   3.1075E-044
    2.460914E+04   7.3717E-004   9.9926E-001   2.0123E-007   1.5715E-022   5.9026E-029   3.2524E-044
    2.553354E+04   6.9019E-004   9.9931E-001   2.0253E-007   1.6040E-022   6.0810E-029   3.3930E-044
    2.644080E+04   6.2755E-004   9.9937E-001   2.1538E-007   1.6342E-022   6.6045E-029   3.5278E-044
    2.733350E+04   5.6799E-004   9.9943E-001   2.3382E-007   1.6613E-022   7.3028E-029   3.6525E-044
    2.821284E+04   5.0078E-004   9.9950E-001   2.5782E-007   1.6846E-022   8.1677E-029   3.7647E-044
    2.908138E+04   4.4555E-004   9.9955E-001   2.7779E-007   1.7046E-022   8.9029E-029   3.8661E-044
    2.994295E+04   3.8071E-004   9.9962E-001   2.9779E-007   1.7234E-022   9.6271E-029   3.9676E-044
    3.079959E+04   3.2674E-004   9.9967E-001   3.1131E-007   1.7458E-022   1.0184E-028   4.0920E-044
    3.165298E+04   2.6266E-004   9.9974E-001   3.4451E-007   1.7773E-022   1.1436E-028   4.2658E-044
    3.250461E+04   2.1274E-004   9.9979E-001   4.0814E-007   1.8219E-022   1.3888E-028   4.5085E-044
    3.335585E+04   1.5646E-004   9.9984E-001   5.6152E-007   1.8751E-022   1.9527E-028   4.7969E-044
    3.420806E+04   1.1756E-004   9.9988E-001   8.5381E-007   1.9241E-022   3.0369E-028   5.0680E-044
    3.506257E+04   7.7959E-005   9.9992E-001   1.5969E-006   1.9633E-022   5.7194E-028   5.2945E-044
    3.592077E+04   5.2827E-005   9.9994E-001   2.8684E-006   2.0148E-022   1.0541E-027   5.5674E-044
