#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 290
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6 s7
2.877500E+04 5.683406E-07 9.865542E-01 1.344521E-02 1.053817E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.882500E+04 5.644611E-07 9.866021E-01 1.339736E-02 1.038314E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.887500E+04 5.569781E-07 9.864563E-01 1.354311E-02 1.062464E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.892500E+04 5.531182E-07 9.864941E-01 1.350536E-02 1.049964E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.897500E+04 5.489480E-07 9.865196E-01 1.347986E-02 1.039206E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.902500E+04 5.448087E-07 9.865423E-01 1.345719E-02 1.029521E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.907500E+04 5.386287E-07 9.864583E-01 1.354115E-02 1.040244E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.912500E+04 5.347563E-07 9.864925E-01 1.350695E-02 1.028121E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.917500E+04 5.298084E-07 9.864638E-01 1.353572E-02 1.028741E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.922500E+04 5.260098E-07 9.864995E-01 1.349999E-02 1.016383E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.927500E+04 5.218594E-07 9.865124E-01 1.348704E-02 1.008685E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.932500E+04 5.176469E-07 9.865230E-01 1.347649E-02 1.001148E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.937500E+04 5.124440E-07 9.864710E-01 1.352851E-02 1.006250E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.942500E+04 5.099187E-07 9.865715E-01 1.342801E-02 9.819605E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.947500E+04 5.047555E-07 9.865224E-01 1.347711E-02 9.857716E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.952500E+04 4.998686E-07 9.864833E-01 1.351622E-02 9.880076E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.957500E+04 4.954222E-07 9.864657E-01 1.353385E-02 9.864659E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.962500E+04 4.903558E-07 9.864144E-01 1.358513E-02 9.904828E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.967500E+04 4.881529E-07 9.865299E-01 1.346958E-02 9.636433E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
